depth	method	seed1	seed2	n_cells	percent_agreement	adjusted_rand_index	cohen_kappa	n_cell_types	rep1_vs_original_percent_agreement	rep1_vs_original_ari	rep2_vs_original_percent_agreement	rep2_vs_original_ari
50000	seurat	42	123	1979	0.9954522486104092	0.989844721966193	0.9950990103913856	17	0.986356745831228	0.970008837569466	0.9853461344113188	0.9679236195112422
10000	seurat	42	123	1979	0.9924204143506822	0.9837055075530796	0.9918310973077707	17	0.9843355229914098	0.9664037762100808	0.9853461344113188	0.9679340251933805
250	scvi	42	123	1979	0.6331480545730167	0.359634221070789	0.5727128192042712	17	0.5391611925214755	0.335164828857682	0.561899949469429	0.3725236806926004
100	scvi	42	123	1979	0.4638706417382516	0.1077737956933684	0.3216943113225985	17	0.3203638201111672	0.1247146623825888	0.3148054573016675	0.1253796164199371
25000	seurat	42	123	1979	0.9939363314805456	0.9868244082524512	0.9934651457931808	17	0.9873673572511368	0.9720225073662754	0.986356745831228	0.9701243042342758
1000	scvi	123	42	1979	0.8630621526023244	0.7457889768615972	0.8510154282422004	17	0.8640727640222334	0.7668971251163854	0.8686205154118242	0.7707355995898776
15000	scvi	123	42	1979	0.9853461344113188	0.9697958317828346	0.98420096658999	17	0.9772612430520464	0.9541626264727312	0.9792824658918646	0.9581546681675882
50	seurat	42	123	1979	0.4214249621020717	0.1370918952399937	0.3570965495032721	17	0.5669530065689742	0.2871422748487586	0.5679636179888833	0.276959744420355
5000	scvi	42	123	1979	0.9706922688226376	0.9427730891456138	0.968374996900374	17	0.9656392117230924	0.9339194908265022	0.9686710459828196	0.9400029715568344
100000	seurat	123	42	1979	0.9974734714502274	0.9944874542038692	0.9972771515730882	17	0.9868620515411825	0.9709636657740244	0.986356745831228	0.9700177140511986
500	seurat	123	42	1979	0.9383527033855482	0.8799964319736625	0.933549863198666	17	0.9464375947448206	0.892378941242818	0.956543708943911	0.9137510332330464
500	scvi	42	123	1979	0.7377463365336028	0.5513431792047024	0.7098462618906841	17	0.7230924709449217	0.565155730307784	0.7367357251136938	0.5822096295043372
15000	seurat	123	42	1979	0.9909044972208186	0.980462894629446	0.9901974111831298	17	0.9833249115715008	0.9640573196288788	0.9848408287013644	0.9669162189085058
50	scvi	42	123	1979	0.4315310763011622	0.0372869355100086	0.1644615193505666	17	0.2011116725618999	0.0567381738719823	0.1773623041940374	0.030441324786402
1000	seurat	42	123	1979	0.9762506316321374	0.9498122746420742	0.9743993213740744	17	0.9762506316321374	0.9502804771910386	0.977766548762001	0.9525730820726872
100000	scvi	42	123	1979	0.9934310257705912	0.9863303929609336	0.9929183569993676	17	0.97877716018191	0.956679088826388	0.97877716018191	0.9561906395375952
50000	scvi	123	42	1979	0.9914098029307732	0.9821606431791174	0.9907395199238088	17	0.9797877716018192	0.9585596550466426	0.9813036887316828	0.961517888229684
10000	scvi	42	123	1979	0.9848408287013644	0.9687979298205568	0.9836533823208728	17	0.976755937342092	0.9534221186203434	0.9742294087923192	0.9490180509534522
250	seurat	123	42	1979	0.8514401212733704	0.727043536636191	0.8397375316661235	17	0.9029813036887316	0.8126096767114157	0.898433552299141	0.8036861390456149
25000	scvi	123	42	1979	0.989388580090955	0.978214388551545	0.9885616224391358	17	0.9802930773117736	0.9589416933742012	0.9792824658918646	0.9569299476070044
100	seurat	123	42	1979	0.6245578575037898	0.3743177460235288	0.592173226883228	17	0.7382516422435573	0.5331658988075479	0.7402728650833754	0.5286589630741558
5000	seurat	42	123	1979	0.989388580090955	0.9767077702257564	0.9885638509379326	17	0.9833249115715008	0.9639777994122168	0.9853461344113188	0.967824723298206
